"COUNTRY","Country","SEX","Sex","AGE","Age","EMPSTAT","Employment status","JOBTYPE","Job type","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,43.9082922100564,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,43.7837597011666,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,43.746350949872,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,43.5784049196703,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,43.4929567104946,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,43.2766330361101,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,43.3076983381776,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,43.2698480784116,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,43.0491233808853,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,42.9746533542458,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,42.9282323606308,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,42.9285861878552,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,42.8394199657709,,
"AUS","Australia","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,42.6035247090997,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,41.1709747273489,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,41.0749935322808,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,40.9465468355065,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,40.9194789748904,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,43.534184784847,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,43.4792031085516,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,43.4705972304743,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,43.3805922263557,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,43.0866780491222,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,42.8395312169613,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,42.6634557957076,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,42.5526181670765,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,42.4120338230402,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,42.0797937076752,,
"AUT","Austria","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,41.9318727966235,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,41.4008684034117,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,41.1144489699659,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,41.3257157970544,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,41.1566565086387,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,40.9218513229007,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,40.9892291777619,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,40.6771721392861,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,40.8832812672723,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,40.5365080709026,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,40.5384792793697,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,40.7025646864781,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,40.7783957500266,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,40.8215315385875,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,41.0554365930972,,
"BEL","Belgium","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,40.8965719939506,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,42.4842289003199,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,42.7929802117197,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,42.5314863100161,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,42.5024779224796,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,42.5268703994288,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,42.5096734986837,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,42.3383533530902,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,42.2265347210364,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,41.9980049824502,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,41.8847245383492,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,41.6658565200139,,
"CZE","Czech Republic","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,41.512541302875,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2000","2000","HOUR","Hours","0","Units",,,39.77040062149,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,39.7216685163648,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,39.7266174077901,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,39.7327503139876,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,39.6838927345234,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,39.8761492324043,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,39.7763340702543,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2007","2007","HOUR","Hours","0","Units",,,38.3645811957844,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2008","2008","HOUR","Hours","0","Units",,,38.3208289680535,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2009","2009","HOUR","Hours","0","Units",,,38.177953074227,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,38.2090462297024,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,38.3334470997443,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,38.2688952978978,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,38.255666561914,,
"DNK","Denmark","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,38.2869698911396,,
"FIN","Finland","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2001","2001","HOUR","Hours","0","Units",,,40.547022391615,,
"FIN","Finland","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2002","2002","HOUR","Hours","0","Units",,,40.7285918854415,,
"FIN","Finland","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2003","2003","HOUR","Hours","0","Units",,,40.6399903984638,,
"FIN","Finland","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2004","2004","HOUR","Hours","0","Units",,,40.4735479396064,,
"FIN","Finland","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2005","2005","HOUR","Hours","0","Units",,,40.9481707317073,,
"FIN","Finland","MW","All persons","900000","Total","TE","Total employment","FT","Full-time employment","A","Annual","2006","2006","HOUR","Hours","0","Units",,,40.8989810097267,,
