"","Both sexes
rank","region","Both","Male
rank","Male","Female
rank","Female"
"1",1,"guyana",44.2,1,70.8,1,22.1
"2",2,"south korea",28.9,5,41.7,5,18
"3",3,"sri lanka",28.8,3,46.4,7,12.8
"4",4,"lithuania",28.2,2,51,29,8.4
"5",5,"suriname",27.8,4,44.5,11,11.9
"6",6,"mozambique",27.4,8,34.2,2,21.1
"7",7,"tanzania",24.9,13,31.6,4,18.3
"8",7,"nepal",24.9,17,30.1,3,20
"9",9,"kazakhstan",23.8,6,40.6,21,9.3
"10",10,"burundi",23.1,9,34.1,9,12.5
"11",11,"india",21.1,22,25.8,6,16.4
"12",12,"south sudan",19.8,19,27.1,7,12.8
"13",13,"turkmenistan",19.6,11,32.5,32,7.5
"14",14,"russia",19.5,7,35.1,46,6.2
"15",14,"uganda",19.5,20,26.9,10,12.3
"16",16,"hungary",19.1,12,32.4,34,7.4
"17",17,"japan",18.5,20,26.9,17,10.1
"18",18,"belarus",18.3,10,32.7,44,6.4
"19",19,"zimbabwe",18.1,18,27.2,18,9.7
"20",20,"bhutan",17.8,32,23.1,13,11.2
"21",21,"sudan",17.2,33,23,12,11.5
"22",22,"comoros",16.9,29,24,15,10.3
"23",23,"ukraine",16.8,16,30.3,55,5.3
"24",24,"poland",16.6,15,30.5,98,3.8
"25",24,"equatorial guinea",16.6,27,24.1,27,8.6
"26",26,"eritrea",16.3,22,25.8,24,8.7
"27",27,"latvia",16.2,14,30.7,86,4.3
"28",27,"kenya",16.2,26,24.4,29,8.4
"29",29,"malawi",16,30,23.9,23,8.9
"30",30,"zambia",15.7,39,20.8,14,10.8
"31",31,"montenegro",15.3,25,24.7,44,6.4
"32",32,"djibouti",15.1,38,20.9,20,9.5
"33",33,"finland",14.8,34,22.2,32,7.5
"34",34,"belgium",14.2,36,21,31,7.7
"35",35,"iceland",14,36,21,40,6.7
"36",36,"angola",13.8,41,20.7,35,7.3
"37",37,"moldova",13.7,27,24.1,73,4.8
"38",38,"estonia",13.6,24,24.9,98,3.8
"39",38,"el salvador",13.6,31,23.5,53,5.7
"40",40,"myanmar",13.1,60,16.5,15,10.3
"41",41,"trinidad and tobago",13,42,20.4,46,6.2
"42",42,"czech republic",12.5,35,21.5,97,3.9
"43",43,"slovenia",12.4,39,20.8,84,4.4
"44",43,"serbia",12.4,44,19.9,50,5.8
"45",43,"somalia",12.4,54,18.1,39,6.8
"46",43,"papua new guinea",12.4,66,15.9,22,9.1
"47",47,"france",12.3,47,19.3,49,6
"48",48,"chile",12.2,49,19,50,5.8
"49",48,"bolivia",12.2,63,16.2,28,8.5
"50",50,"uruguay",12.1,43,20,61,5.2
"51",50,"united states of america",12.1,46,19.4,61,5.2
"52",52,"rwanda",11.9,57,17.1,36,7.2
"53",53,"croatia",11.6,45,19.8,78,4.5
"54",54,"austria",11.5,53,18.2,54,5.4
"55",54,"ethiopia",11.5,60,16.5,40,6.7
"56",56,"thailand",11.4,48,19.1,78,4.5
"57",56,"cuba",11.4,50,18.5,78,4.5
"58",58,"sweden",11.1,63,16.2,48,6.1
"59",59,"ireland",11,58,16.9,61,5.2
"60",59,"madagascar",11,69,15.2,38,6.9
"61",61,"bosnia and herzegovina",10.8,55,18,89,4.1
"62",61,"bulgaria",10.8,59,16.6,55,5.3
"63",63,"australia",10.6,65,16.1,61,5.2
"64",63,"solomon islands",10.6,76,13.9,36,7.2
"65",65,"romania",10.5,52,18.4,109,2.9
"66",66,"argentina",10.3,56,17.2,89,4.1
"67",67,"slovakia",10.1,50,18.5,121,2.5
"68",67,"democratic republic of the congo",10.1,67,15.8,73,4.8
"69",69,"nicaragua",10,68,15.4,70,4.9
"70",70,"mongolia",9.8,62,16.3,100,3.7
"71",70,"canada",9.8,70,14.9,73,4.8
"72",72,"congo",9.6,71,14.7,77,4.6
"73",72,"new zealand",9.6,73,14.4,69,5
"74",74,"central african republic",9.5,75,14.1,55,5.3
"75",75,"cambodia",9.4,86,12.6,43,6.5
"76",76,"pakistan",9.3,106,9.1,19,9.6
"77",77,"germany",9.2,72,14.5,89,4.1
