"","region","value"
"1","guyana",44.2
"2","south korea",28.9
"3","sri lanka",28.8
"4","lithuania",28.2
"5","suriname",27.8
"6","mozambique",27.4
"7","tanzania",24.9
"8","nepal",24.9
"9","kazakhstan",23.8
"10","burundi",23.1
"11","india",21.1
"12","south sudan",19.8
"13","turkmenistan",19.6
"14","russia",19.5
"15","uganda",19.5
"16","hungary",19.1
"17","japan",18.5
"18","belarus",18.3
"19","zimbabwe",18.1
"20","bhutan",17.8
"21","sudan",17.2
"22","comoros",16.9
"23","ukraine",16.8
"24","poland",16.6
"25","equatorial guinea",16.6
"26","eritrea",16.3
"27","latvia",16.2
"28","kenya",16.2
"29","malawi",16
"30","zambia",15.7
"31","montenegro",15.3
"32","djibouti",15.1
"33","finland",14.8
"34","belgium",14.2
"35","iceland",14
"36","angola",13.8
"37","moldova",13.7
"38","estonia",13.6
"39","el salvador",13.6
"40","myanmar",13.1
"41","trinidad and tobago",13
"42","czech republic",12.5
"43","slovenia",12.4
"44","serbia",12.4
"45","somalia",12.4
"46","papua new guinea",12.4
"47","france",12.3
"48","chile",12.2
"49","bolivia",12.2
"50","uruguay",12.1
"51","united states of america",12.1
"52","rwanda",11.9
"53","croatia",11.6
"54","austria",11.5
"55","ethiopia",11.5
"56","thailand",11.4
"57","cuba",11.4
"58","sweden",11.1
"59","ireland",11
"60","madagascar",11
"61","bosnia and herzegovina",10.8
"62","bulgaria",10.8
"63","australia",10.6
"64","solomon islands",10.6
"65","romania",10.5
"66","argentina",10.3
"67","slovakia",10.1
"68","democratic republic of the congo",10.1
"69","nicaragua",10
"70","mongolia",9.8
"71","canada",9.8
"72","congo",9.6
"73","new zealand",9.6
"74","central african republic",9.5
"75","cambodia",9.4
"76","pakistan",9.3
"77","germany",9.2
"78","kyrgyzstan",9.2
"79","switzerland",9.2
"80","ecuador",9.2
"81","norway",9.1
"82","denmark",8.8
"83","laos",8.8
"84","guatemala",8.7
"85","luxembourg",8.7
"86","uzbekistan",8.5
"87","portugal",8.2
"88","gabon",8.2
"89","netherlands",8.2
"90","bahrain",8.1
"91","mauritius",8
"92","c(""timor"", ""leste"")",8
"93","turkey",7.9
"94","china",7.8
"95","bangladesh",7.8
"96","sierra leone",7.7
"97","c(""cote d"", ""ivoire"")",7.4
"98","singapore",7.4
"99","fiji",7.3
"100","cameroon",7
"101","costa rica",6.7
"102","nigeria",6.5
"103","maldives",6.4
"104","brunei",6.4
"105","united kingdom",6.2
"106","swaziland",6.2
"107","lesotho",6.1
"108","paraguay",6.1
"109","malta",6
"110","israel",5.9
"111","albania",5.9
"112","brazil",5.8
"113","benin",5.7
"114","afghanistan",5.7
"115","togo",5.5
"116","honduras",5.5
"117","colombia",5.4
"118","senegal",5.4
"119","morocco",5.3
"120","republic of macedonia",5.2
"121","iran",5.2
"122","spain",5.1
"123","vietnam",5
"124","gambia",5
"125","cabo verde",4.8
"126","burkina faso",4.8
"127","mali",4.8
"128","panama",4.7
"129","cyprus",4.7
"130","italy",4.7
"131","chad",4.7
"132","c(""guinea"", ""bissau"")",4.7
"133","guinea",4.7
"134","qatar",4.6
"135","liberia",4.3
"136","indonesia",4.3
"137","mexico",4.2
"138","tajikistan",4.2
"139","dominican republic",4.1
"140","greece",3.8
"141","botswana",3.8
"142","yemen",3.7
"143","niger",3.5
"144","georgia",3.2
"145","peru",3.2
"146","united arab emirates",3.2
"147","ghana",3.1
"148","south africa",3
"149","malaysia",3
"150","armenia",2.9
"151","philippines",2.9
"152","mauritania",2.9
"153","haiti",2.8
"154","namibia",2.7
"155","belize",2.6
"156","venezuela",2.6
"157","tunisia",2.4
"158","barbados",2.3
"159","bahamas",2.3
"160","jordan",2
"161","algeria",1.9
"162","libya",1.8
"163","egypt",1.7
"164","azerbaijan",1.7
"165","iraq",1.7
"166","jamaica",1.2
"167","oman",1
"168","lebanon",0.9
"169","kuwait",0.9
"170","syria",0.4
"171","saudi arabia",0.4
