"","region","value"
"1","guyana",70.8
"2","south korea",41.7
"3","sri lanka",46.4
"4","lithuania",51
"5","suriname",44.5
"6","mozambique",34.2
"7","tanzania",31.6
"8","nepal",30.1
"9","kazakhstan",40.6
"10","burundi",34.1
"11","india",25.8
"12","south sudan",27.1
"13","turkmenistan",32.5
"14","russia",35.1
"15","uganda",26.9
"16","hungary",32.4
"17","japan",26.9
"18","belarus",32.7
"19","zimbabwe",27.2
"20","bhutan",23.1
"21","sudan",23
"22","comoros",24
"23","ukraine",30.3
"24","poland",30.5
"25","equatorial guinea",24.1
"26","eritrea",25.8
"27","latvia",30.7
"28","kenya",24.4
"29","malawi",23.9
"30","zambia",20.8
"31","montenegro",24.7
"32","djibouti",20.9
"33","finland",22.2
"34","belgium",21
"35","iceland",21
"36","angola",20.7
"37","moldova",24.1
"38","estonia",24.9
"39","el salvador",23.5
"40","myanmar",16.5
"41","trinidad and tobago",20.4
"42","czech republic",21.5
"43","slovenia",20.8
"44","serbia",19.9
"45","somalia",18.1
"46","papua new guinea",15.9
"47","france",19.3
"48","chile",19
"49","bolivia",16.2
"50","uruguay",20
"51","united states of america",19.4
"52","rwanda",17.1
"53","croatia",19.8
"54","austria",18.2
"55","ethiopia",16.5
"56","thailand",19.1
"57","cuba",18.5
"58","sweden",16.2
"59","ireland",16.9
"60","madagascar",15.2
"61","bosnia and herzegovina",18
"62","bulgaria",16.6
"63","australia",16.1
"64","solomon islands",13.9
"65","romania",18.4
"66","argentina",17.2
"67","slovakia",18.5
"68","democratic republic of the congo",15.8
"69","nicaragua",15.4
"70","mongolia",16.3
"71","canada",14.9
"72","congo",14.7
"73","new zealand",14.4
"74","central african republic",14.1
"75","cambodia",12.6
"76","pakistan",9.1
"77","germany",14.5
"78","kyrgyzstan",14.2
"79","switzerland",13.6
"80","ecuador",13.2
"81","norway",13
"82","denmark",13.6
"83","laos",11.2
"84","guatemala",13.7
"85","luxembourg",13
"86","uzbekistan",13.2
"87","portugal",13.6
"88","gabon",12.1
"89","netherlands",11.7
"90","bahrain",11.6
"91","mauritius",13.2
"92","c(""timor"", ""leste"")",10.2
"93","turkey",11.8
"94","china",7.1
"95","bangladesh",6.8
"96","sierra leone",11
"97","c(""cote d"", ""ivoire"")",10.6
"98","singapore",9.8
"99","fiji",10.6
"100","cameroon",10.9
"101","costa rica",11.2
"102","nigeria",10.3
"103","maldives",7.8
"104","brunei",7.7
"105","united kingdom",9.8
"106","swaziland",8.6
"107","lesotho",9.2
"108","paraguay",9.1
"109","malta",11.1
"110","israel",9.8
"111","albania",6.6
"112","brazil",9.4
"113","benin",8.8
"114","afghanistan",6.2
"115","togo",8.5
"116","honduras",8.3
"117","colombia",9.1
"118","senegal",8.6
"119","morocco",9.9
"120","republic of macedonia",7.3
"121","iran",6.7
"122","spain",8.2
"123","vietnam",8
"124","gambia",7.6
"125","cabo verde",9.1
"126","burkina faso",7.3
"127","mali",7.2
"128","panama",8.1
"129","cyprus",7.7
"130","italy",7.6
"131","chad",7.4
"132","c(""guinea"", ""bissau"")",7.2
"133","guinea",7.1
"134","qatar",5.7
"135","liberia",6.8
"136","indonesia",3.7
"137","mexico",7.1
"138","tajikistan",5.7
"139","dominican republic",6.1
"140","greece",6.3
"141","botswana",5.7
"142","yemen",4.3
"143","niger",5.3
"144","georgia",5.7
"145","peru",4.4
"146","united arab emirates",3.9
"147","ghana",4.2
"148","south africa",5.5
"149","malaysia",4.7
"150","armenia",5
"151","philippines",4.8
"152","mauritania",4.5
"153","haiti",3.3
"154","namibia",4.4
"155","belize",4.9
"156","venezuela",4.3
"157","tunisia",3.4
"158","barbados",4.1
"159","bahamas",3.6
"160","jordan",2.2
"161","algeria",2.3
"162","libya",2.2
"163","egypt",2.4
"164","azerbaijan",2.4
"165","iraq",1.2
"166","jamaica",1.8
"167","oman",1.2
"168","lebanon",1.2
"169","kuwait",1
"170","syria",0.7
"171","saudi arabia",0.6
