"","Country","Time","Income","WorkHour"
"1","Australia",2001,51178,43.9082922100564
"2","Australia",2002,51579,43.7837597011666
"3","Australia",2003,52135,43.746350949872
"4","Australia",2004,53746,43.5784049196703
"5","Australia",2005,54446,43.4929567104946
"6","Australia",2006,54778,43.2766330361101
"7","Australia",2007,56333,43.3076983381776
"8","Australia",2008,56765,43.2698480784116
"9","Australia",2009,56257,43.0491233808853
"10","Australia",2010,58028,42.9746533542458
"11","Australia",2011,59768,42.9282323606308
"12","Australia",2012,60286,42.9285861878552
"13","Australia",2013,59866,42.8394199657709
"14","Australia",2014,60047,42.6035247090997
"15","Austria",2000,41198,41.1709747273489
"16","Austria",2001,41078,41.0749935322808
"17","Austria",2002,41712,40.9465468355065
"18","Austria",2003,41829,40.9194789748904
"19","Austria",2004,42595,43.534184784847
"20","Austria",2005,42791,43.4792031085516
"21","Austria",2006,43411,43.4705972304743
"22","Austria",2007,43630,43.3805922263557
"23","Austria",2008,44387,43.0866780491222
"24","Austria",2009,45069,42.8395312169613
"25","Austria",2010,44883,42.6634557957076
"26","Austria",2011,44391,42.5526181670765
"27","Austria",2012,44643,42.4120338230402
"28","Austria",2013,44689,42.0797937076752
"29","Austria",2014,44794,41.9318727966235
"30","Belgium",2000,45362,41.4008684034117
"31","Belgium",2001,45610,41.1144489699659
"32","Belgium",2002,46378,41.3257157970544
"33","Belgium",2003,46565,41.1566565086387
"34","Belgium",2004,46336,40.9218513229007
"35","Belgium",2005,46048,40.9892291777619
"36","Belgium",2006,46237,40.6771721392861
"37","Belgium",2007,46025,40.8832812672723
"38","Belgium",2008,46169,40.5365080709026
"39","Belgium",2009,46563,40.5384792793697
"40","Belgium",2010,46293,40.7025646864781
"41","Belgium",2011,46705,40.7783957500266
"42","Belgium",2012,47068,40.8215315385875
"43","Belgium",2013,47414,41.0554365930972
"44","Belgium",2014,47580,40.8965719939506
"45","Czech Republic",2002,9827,42.4842289003199
"46","Czech Republic",2003,10568,42.7929802117197
"47","Czech Republic",2005,11415,42.5314863100161
"48","Czech Republic",2006,11866,42.5024779224796
"49","Czech Republic",2007,12216,42.5268703994288
"50","Czech Republic",2008,12221,42.5096734986837
"51","Czech Republic",2009,12190,42.3383533530902
"52","Czech Republic",2010,12473,42.2265347210364
"53","Czech Republic",2011,12586,41.9980049824502
"54","Czech Republic",2012,12577,41.8847245383492
"55","Czech Republic",2013,12439,41.6658565200139
"56","Czech Republic",2014,12520,41.512541302875
"57","Denmark",2000,51986,39.77040062149
"58","Denmark",2001,52377,39.7216685163648
"59","Denmark",2002,53580,39.7266174077901
"60","Denmark",2003,54916,39.7327503139876
"61","Denmark",2004,56177,39.6838927345234
"62","Denmark",2005,57155,39.8761492324043
"63","Denmark",2006,58163,39.7763340702543
"64","Denmark",2007,58851,38.3645811957844
"65","Denmark",2008,59660,38.3208289680535
"66","Denmark",2009,61102,38.177953074227
"67","Denmark",2010,61752,38.2090462297024
"68","Denmark",2011,61446,38.3334470997443
"69","Denmark",2012,61303,38.2688952978978
"70","Denmark",2013,61413,38.255666561914
"71","Denmark",2014,62441,38.2869698911396
"72","Finland",2001,38710,40.547022391615
"73","Finland",2002,38930,40.7285918854415
"74","Finland",2003,39679,40.6399903984638
"75","Finland",2004,41006,40.4735479396064
"76","Finland",2005,41951,40.9481707317073
"77","Finland",2006,42927,40.8989810097267
"78","Finland",2007,43581,40.2810550458716
"79","Finland",2008,44003,40.2761797752809
"80","Finland",2009,44358,40.2035469587509
"81","Finland",2010,45055,40.2422238918106
"82","Finland",2011,45210,40.2285814083457
"83","Finland",2012,45241,40.1512422071276
